"age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb"
25,"18-29","High school",12,2,50,"High school","1+ to  4 hours",4,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",2,"PRETTY HAPPY","VERY HAPPY",14,"NAP","NAP","$20000 TO 22499",14,10,"MARRIED","NO","CLINTON","NAP","VERY SATISFIED",2,"HIGH SCHOOL","KEEPING HOUSE","VOTED","WORKING FULLTIME","LEO",21250,-2,12,14,50,NA,"Yes","No",0,1
56,"50-59","High school",11,-1,40,"High school","Not Internet user",-1,"Female",-1,"Not applicable",2,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$17500 TO 19999","NAP","$17500 TO 19999",11,10,"DIVORCED","DK","DOLE","NAP","MOD. SATISFIED",11,"NAP","NAP","VOTED","WORKING FULLTIME","TAURUS",18750,18750,NA,NA,NA,NA,NA,NA,NA,NA
81,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"UNDER $1 000","ROUTINE","$17500 TO 19999",8,98,"WIDOWED","NAP","CLINTON","NAP","NAP",2,"NAP","NAP","VOTED","RETIRED","PISCES",18750,500,NA,NA,NA,NA,NA,NA,NA,NA
39,"30-39","High school",13,0.0833333333333333,35,"High school","One hour or less",0.583333333333333,"Male",10,"Yahoo",2,"Yes","Yes","Yes","Yes",0.5,"PRETTY HAPPY","PRETTY HAPPY",12,"$30000 TO 34999","EXCITING","$30000 TO 34999",13,12,"MARRIED","YES","CLINTON","CONTINUE WORKING","MOD. SATISFIED",3,"HIGH SCHOOL","WORKING PARTTIME","VOTED","WORKING FULLTIME","PISCES",32500,32500,13,12,35,10,"Yes","No",0,1
25,"18-29","High school",13,0.166666666666667,40,"High school","One hour or less",0.166666666666667,"Male",-1,"Not applicable",4,"Yes","Yes","Yes","No",0,"NAP","VERY HAPPY",97,"$25000 TO 29999","NAP","$40000 TO 49999",12,12,"WIDOWED","YES","NAP","NAP","VERY SATISFIED",2,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","AQUARIUS",45000,27500,NA,NA,NA,NA,NA,NA,NA,NA
36,"30-39","High school",14,0,50,"High school","More than 10",20,"Male",-1,"Yahoo",1,"Yes","No","Yes","Yes",20,"NAP","PRETTY HAPPY",97,"$35000 TO 39999","NAP","DK",12,12,"NEVER MARRIED","YES","PEROT","NAP","MOD. SATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","CAPRICORN",-2,37500,NA,NA,NA,NA,NA,NA,NA,NA
25,"18-29","High school",12,-1,-1,"High school","Not Internet user",-1,"Male",-1,"Not applicable",7,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$7 000 TO 7 999","ROUTINE","$50000 TO 59999",12,12,"NEVER MARRIED","YES","NAP","STOP WORKING","MOD. SATISFIED",4,"NAP","NAP","DID NOT VOTE","UNEMPL, LAID OFF","LIBRA",55000,7500,NA,NA,NA,NA,NA,NA,NA,NA
50,"50-59","High school",12,-1,40,"High school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",12,"$8 000 TO 9 999","ROUTINE","$8 000 TO 9 999",12,12,"MARRIED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",2,"HIGH SCHOOL","OTHER","DID NOT VOTE","WORKING FULLTIME","SAGITTARIUS",9000,9000,12,12,NA,40,"No","Yes",1,0
23,"18-29","High school",14,3,40,"High school","1+ to  4 hours",4,"Male",-1,"Yahoo",0,"Yes","Yes","Yes","Yes",1,"NAP","PRETTY HAPPY",97,"UNDER $1 000","ROUTINE","$12500 TO 14999",16,12,"NEVER MARRIED","NO","CLINTON","STOP WORKING","A LITTLE DISSAT",1,"NAP","NAP","VOTED","WORKING FULLTIME","SCORPIO",13750,500,NA,NA,NA,NA,NA,NA,NA,NA
32,"30-39","High school",13,-1,45,"High school","Not Internet user",-1,"Male",-1,"Not applicable",1,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","NAP","$30000 TO 34999",12,12,"NEVER MARRIED","YES","NAP","NAP","A LITTLE DISSAT",4,"NAP","NAP","DONT KNOW/REMMBR","WORKING FULLTIME","AQUARIUS",32500,-2,NA,NA,NA,NA,NA,NA,NA,NA
42,"40-49","High school",14,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$10000 TO 12499","NAP","$10000 TO 12499",97,97,"DIVORCED","YES","PEROT","NAP","VERY SATISFIED",7,"NAP","NAP","VOTED","WORKING FULLTIME","GEMINI",11250,11250,NA,NA,NA,NA,NA,NA,NA,NA
36,"30-39","High school",14,4,-1,"High school","4+ to 10 hours",10,"Female",-1,"Lycos",4,"Yes","Yes","Yes","Yes",6,"PRETTY HAPPY","PRETTY HAPPY",15,"NAP","NAP","$50000 TO 59999",14,12,"MARRIED","YES","DOLE","NAP","A LITTLE DISSAT",1,"HIGH SCHOOL","TEMP NOT WORKING","VOTED","KEEPING HOUSE","PISCES",55000,-2,15,14,NA,NA,"No","No",0,0
46,"40-49","High school",12,-3,32,"High school","Not available",-3,"Female",-1,"Not available",4,"Yes","No answer","No answer","No answer",-3,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","NAP","$30000 TO 34999",14,99,"DIVORCED","YES","PEROT","NAP","VERY SATISFIED",1,"NAP","NAP","VOTED","WORKING FULLTIME","SCORPIO",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA
47,"40-49","High school",12,1,32,"High school","One hour or less",1,"Female",50,"Not applicable",-1,"Yes","Yes","Yes","No",0,"PRETTY HAPPY","PRETTY HAPPY",12,"$12500 TO 14999","ROUTINE","$75000 TO $89999",12,98,"MARRIED","NAP","PEROT","CONTINUE WORKING","VERY SATISFIED",2,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","CAPRICORN",82500,13750,12,12,50,32,"Yes","Yes",1,1
56,"50-59","High school",14,0.833333333333333,40,"High school","1+ to  4 hours",1.33333333333333,"Male",38,"Not applicable",3,"Yes","Yes","Yes","Yes",0.5,"VERY HAPPY","PRETTY HAPPY",12,"$30000 TO 34999","NAP","$50000 TO 59999",12,10,"MARRIED","NO","NAP","NAP","VERY SATISFIED",5,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","VIRGO",55000,32500,14,12,40,38,"Yes","Yes",1,1
69,"60-89","High school",16,0.0833333333333333,-1,"High school","One hour or less",0.166666666666667,"Female",-1,"Not applicable",-1,"Yes","Yes","Yes","Yes",0.0833333333333333,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","UNDER $1 000",12,97,"DIVORCED","NAP","DOLE","NAP","NAP",1,"NAP","NAP","VOTED","RETIRED","SCORPIO",500,-2,NA,NA,NA,NA,NA,NA,NA,NA
19,"18-29","High school",12,1,-1,"High school","1+ to  4 hours",1.33333333333333,"Female",-1,"Not applicable",5,"Yes","Yes","Yes","Yes",0.333333333333333,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$60000 TO 74999",13,97,"NEVER MARRIED","NO","NAP","NAP","NAP",3,"NAP","NAP","INELIGIBLE","SCHOOL","LIBRA",67500,-2,NA,NA,NA,NA,NA,NA,NA,NA
51,"50-59","High school",12,1,40,"High school","1+ to  4 hours",2,"Female",-1,"Altavista",2,"Yes","Yes","Yes","Yes",1,"NAP","VERY HAPPY",97,"$22500 TO 24999","EXCITING","$22500 TO 24999",9,97,"DIVORCED","YES","PEROT","STOP WORKING","MOD. SATISFIED",4,"NAP","NAP","VOTED","WORKING FULLTIME","CAPRICORN",23750,23750,NA,NA,NA,NA,NA,NA,NA,NA
45,"40-49","High school",12,-1,14,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$5 000 TO 5 999","ROUTINE","$10000 TO 12499",12,98,"DIVORCED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",5,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","LIBRA",11250,5500,NA,NA,NA,NA,NA,NA,NA,NA
42,"40-49","High school",13,3,50,"High school","1+ to  4 hours",4,"Male",40,"Not applicable",3,"Yes","Yes","Yes","Yes",1,"VERY HAPPY","VERY HAPPY",13,"$110 000 OVER","NAP","$110000 OR OVER",12,16,"MARRIED","NO","DOLE","NAP","VERY SATISFIED",1,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","TAURUS",110000,110000,13,13,50,40,"Yes","Yes",1,1
27,"18-29","High school",14,2,40,"High school","4+ to 10 hours",7,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",5,"VERY HAPPY","VERY HAPPY",14,"$17500 TO 19999","NAP","$17500 TO 19999",99,99,"MARRIED","YES","NAP","NAP","MOD. SATISFIED",2,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","CAPRICORN",18750,18750,14,14,40,NA,"Yes","No",0,1
43,"40-49","High school",12,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","ROUTINE","$40000 TO 49999",12,11,"DIVORCED","NAP","NAP","STOP WORKING","MOD. SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","GEMINI",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA
32,"30-39","High school",12,5,45,"High school","4+ to 10 hours",5.5,"Female",-1,"Not applicable",3,"Yes","Yes","Yes","Yes",0.5,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","EXCITING","$40000 TO 49999",14,12,"NEVER MARRIED","DK","CLINTON","CONTINUE WORKING","MOD. SATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","GEMINI",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA
52,"50-59","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",48,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",14,"NAP","EXCITING","$35000 TO 39999",12,8,"MARRIED","NAP","NAP","NAP","NAP",6,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","OTHER","LEO",37500,-2,14,12,48,NA,"Yes","No",0,1
45,"40-49","High school",13,-1,-1,"High school","Not Internet user",-1,"Male",-1,"Not applicable",24,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$1 000 TO 2 999",6,97,"SEPARATED","YES","CLINTON","NAP","NAP",3,"NAP","NAP","VOTED","RETIRED","GEMINI",2000,-2,NA,NA,NA,NA,NA,NA,NA,NA
33,"30-39","High school",12,-1,48,"High school","Not Internet user",-1,"Female",-1,"Not applicable",3,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","EXCITING","$12500 TO 14999",12,97,"DIVORCED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","ARIES",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA
21,"18-29","High school",13,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$1 000 TO 2 999","ROUTINE","$35000 TO 39999",14,97,"NEVER MARRIED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING FULLTIME","VIRGO",37500,2000,NA,NA,NA,NA,NA,NA,NA,NA
42,"40-49","High school",12,0,30,"High school","One hour or less",1,"Female",40,"Not available",-1,"Yes","No","Yes","Yes",1,"VERY HAPPY","PRETTY HAPPY",14,"$5 000 TO 5 999","EXCITING","$40000 TO 49999",12,12,"MARRIED","NAP","CLINTON","STOP WORKING","VERY SATISFIED",2,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","CANCER",45000,5500,14,12,40,30,"Yes","Yes",1,1
31,"30-39","High school",13,1.25,40,"High school","1+ to  4 hours",1.25,"Male",-1,"Not applicable",1,"Yes","Yes","Yes","No",0,"NAP","PRETTY HAPPY",97,"$35000 TO 39999","EXCITING","$35000 TO 39999",12,97,"NEVER MARRIED","YES","CLINTON","CONTINUE WORKING","VERY DISSATISFIED",7,"NAP","NAP","VOTED","WORKING FULLTIME","CANCER",37500,37500,NA,NA,NA,NA,NA,NA,NA,NA
34,"30-39","High school",12,-1,50,"High school","Not Internet user",-1,"Male",40,"Not applicable",4,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",12,"$30000 TO 34999","ROUTINE","$40000 TO 49999",12,6,"MARRIED","YES","PEROT","STOP WORKING","MOD. SATISFIED",3,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","AQUARIUS",45000,32500,12,12,50,40,"Yes","Yes",1,1
39,"30-39","High school",12,-1,40,"High school","Not Internet user",-1,"Female",-1,"Not applicable",0,"Yes","No","No","No",-1,"NAP","VERY HAPPY",97,"$12500 TO 14999","ROUTINE","$12500 TO 14999",12,97,"DIVORCED","NO","CLINTON","CONTINUE WORKING","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","SCORPIO",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA
39,"30-39","High school",13,30,24,"High school","More than 10",34,"Female",40,"Yahoo",2,"Yes","Yes","Yes","Yes",4,"VERY HAPPY","VERY HAPPY",12,"REFUSED","NAP","REFUSED",12,12,"MARRIED","NO","NAP","NAP","VERY SATISFIED",3,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING PARTTIME","NA",-1,-1,12,13,40,24,"Yes","No",0,1
34,"30-39","High school",13,2,40,"High school","4+ to 10 hours",5,"Female",40,"Hotbot",2,"Yes","Yes","Yes","Yes",3,"VERY HAPPY","VERY HAPPY",12,"$7 000 TO 7 999","EXCITING","$40000 TO 49999",12,14,"MARRIED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",1,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","CANCER",45000,7500,12,13,40,40,"Yes","Yes",1,1
36,"30-39","High school",12,2,-1,"High school","4+ to 10 hours",5,"Female",-1,"Not applicable",10,"Yes","Yes","Yes","Yes",3,"VERY HAPPY","PRETTY HAPPY",12,"NAP","NAP","REFUSED",12,12,"MARRIED","NO","NAP","NAP","DK",3,"HIGH SCHOOL","OTHER","DID NOT VOTE","KEEPING HOUSE","ARIES",-1,-2,12,12,NA,NA,"No","No",0,0
47,"40-49","High school",12,-1,48,"High school","Not Internet user",-1,"Male",-1,"Not applicable",3,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","EXCITING","$40000 TO 49999",8,12,"DIVORCED","YES","CLINTON","STOP WORKING","VERY SATISFIED",4,"NAP","NAP","VOTED","WORKING FULLTIME","AQUARIUS",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA
46,"40-49","High school",12,-1,-1,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","EXCITING","$10000 TO 12499",3,97,"DIVORCED","NAP","CLINTON","NAP","NAP",6,"NAP","NAP","VOTED","OTHER","VIRGO",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA
52,"50-59","High school",12,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$22500 TO 24999","ROUTINE","$25000 TO 29999",8,97,"DIVORCED","NAP","CLINTON","CONTINUE WORKING","MOD. SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","CAPRICORN",27500,23750,NA,NA,NA,NA,NA,NA,NA,NA
23,"18-29","High school",11,3,53,"High school","1+ to  4 hours",3.5,"Female",-1,"Not applicable",0,"Yes","Yes","Yes","Yes",0.5,"NAP","PRETTY HAPPY",97,"NAP","NAP","$8 000 TO 9 999",12,12,"NEVER MARRIED","YES","CLINTON","NAP","VERY SATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","VIRGO",9000,-2,NA,NA,NA,NA,NA,NA,NA,NA
62,"60-89","High school",12,-1,15,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$6 000 TO 6 999","ROUTINE","$15000 TO 17499",8,98,"WIDOWED","NAP","CLINTON","STOP WORKING","MOD. SATISFIED",8,"NAP","NAP","VOTED","WORKING PARTTIME","AQUARIUS",16250,6500,NA,NA,NA,NA,NA,NA,NA,NA
25,"18-29","High school",12,-1,6,"High school","Not Internet user",-1,"Female",-1,"Not applicable",14,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"UNDER $1 000","DULL","UNDER $1 000",12,12,"NEVER MARRIED","YES","NAP","STOP WORKING","VERY SATISFIED",1,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","TAURUS",500,500,NA,NA,NA,NA,NA,NA,NA,NA
27,"18-29","High school",12,-1,35,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$15000 TO 17499","EXCITING","$20000 TO 22499",10,97,"SEPARATED","NAP","CLINTON","STOP WORKING","MOD. SATISFIED",0,"NAP","NAP","VOTED","WORKING FULLTIME","LEO",21250,16250,NA,NA,NA,NA,NA,NA,NA,NA
35,"30-39","High school",12,0,54,"High school","1+ to  4 hours",2,"Male",-1,"Explorer",2,"Yes","No","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","NAP","$30000 TO 34999",12,12,"DIVORCED","YES","DOLE","NAP","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","SCORPIO",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA
38,"30-39","High school",13,2,50,"High school","1+ to  4 hours",4,"Female",50,"Not applicable",2,"Yes","Yes","Yes","Yes",2,"PRETTY HAPPY","PRETTY HAPPY",12,"$15000 TO 17499","EXCITING","$40000 TO 49999",3,12,"MARRIED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",2,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","VIRGO",45000,16250,12,13,50,50,"Yes","Yes",1,1
75,"60-89","High school",12,1,-1,"High school","More than 10",15,"Male",-1,"Not applicable",-1,"No","Yes","Yes","Yes",14,"VERY HAPPY","VERY HAPPY",12,"NAP","EXCITING","$25000 TO 29999",12,7,"MARRIED","NAP","CLINTON","NAP","NAP",6,"HIGH SCHOOL","RETIRED","VOTED","RETIRED","LIBRA",27500,-2,12,12,NA,NA,"No","No",0,0
32,"30-39","High school",17,2,42,"High school","1+ to  4 hours",3.5,"Female",40,"Lycos",1,"Yes","Yes","Yes","Yes",1.5,"PRETTY HAPPY","PRETTY HAPPY",12,"$30000 TO 34999","NAP","$60000 TO 74999",13,18,"MARRIED","YES","DOLE","NAP","MOD. SATISFIED",1,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","CANCER",67500,32500,12,17,40,42,"Yes","Yes",1,1
45,"40-49","High school",12,10,40,"High school","More than 10",12,"Female",-1,"Not available",-1,"Yes","Yes","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","ROUTINE","$30000 TO 34999",8,97,"DIVORCED","NAP","CLINTON","STOP WORKING","VERY SATISFIED",7,"NAP","NAP","VOTED","WORKING FULLTIME","AQUARIUS",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA
21,"18-29","High school",12,2,23,"High school","4+ to 10 hours",6,"Female",-1,"Yahoo",3,"Yes","Yes","Yes","Yes",4,"NAP","PRETTY HAPPY",97,"UNDER $1 000","ROUTINE","$60000 TO 74999",13,17,"NEVER MARRIED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","SAGITTARIUS",67500,500,NA,NA,NA,NA,NA,NA,NA,NA
20,"18-29","High school",13,3,20,"High school","4+ to 10 hours",6,"Male",-1,"Not applicable",3,"Yes","Yes","Yes","Yes",3,"NAP","PRETTY HAPPY",97,"$4 000 TO 4 999","NAP","$4 000 TO 4 999",16,16,"NEVER MARRIED","YES","NAP","NAP","MOD. SATISFIED",3,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","CAPRICORN",4500,4500,NA,NA,NA,NA,NA,NA,NA,NA
62,"60-89","High school",18,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$40000 TO 49999","ROUTINE","$75000 TO $89999",3,2,"DIVORCED","NAP","NAP","STOP WORKING","MOD. SATISFIED",12,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","LEO",82500,45000,NA,NA,NA,NA,NA,NA,NA,NA
43,"40-49","High school",12,3,39,"High school","More than 10",13,"Female",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",10,"NAP","NOT TOO HAPPY",97,"$15000 TO 17499","ROUTINE","$17500 TO 19999",97,6,"DIVORCED","YES","NAP","STOP WORKING","VERY DISSATISFIED",2,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","CANCER",18750,16250,NA,NA,NA,NA,NA,NA,NA,NA
73,"60-89","High school",14,-1,20,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"Yes","No","No","No",-1,"NAP","VERY HAPPY",97,"$12500 TO 14999","ROUTINE","$12500 TO 14999",7,5,"NEVER MARRIED","NAP","CLINTON","CONTINUE WORKING","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING PARTTIME","VIRGO",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA
35,"30-39","High school",13,2,28,"High school","4+ to 10 hours",7,"Female",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",5,"NAP","NOT TOO HAPPY",97,"NAP","NAP","$10000 TO 12499",12,12,"DIVORCED","YES","DOLE","NAP","VERY SATISFIED",3,"NAP","NAP","VOTED","WORKING PARTTIME","CAPRICORN",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA
48,"40-49","High school",12,0.333333333333333,60,"High school","1+ to  4 hours",3.33333333333333,"Female",40,"Not applicable",3,"Yes","Yes","Yes","Yes",3,"PRETTY HAPPY","PRETTY HAPPY",14,"NAP","ROUTINE","$40000 TO 49999",98,11,"MARRIED","YES","CLINTON","STOP WORKING","MOD. SATISFIED",5,"LT HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","LEO",45000,-2,14,12,40,60,"Yes","Yes",1,1
88,"60-89","High school",16,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","DULL","$12500 TO 14999",12,9,"WIDOWED","DK","DONT KNOW","NAP","NA",0,"NAP","NAP","VOTED","KEEPING HOUSE","VIRGO",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA
50,"50-59","High school",12,-3,47,"High school","Not available",-3,"Male",-1,"Not available",4,"Yes","No answer","No answer","No answer",-3,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","EXCITING","$40000 TO 49999",3,97,"DIVORCED","YES","DOLE","STOP WORKING","MOD. SATISFIED",6,"NAP","NAP","VOTED","WORKING FULLTIME","LIBRA",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA
44,"40-49","High school",14,1,60,"High school","One hour or less",1,"Female",40,"Not applicable",4,"Yes","Yes","Yes","No",0,"NOT TOO HAPPY","PRETTY HAPPY",14,"$22500 TO 24999","ROUTINE","$40000 TO 49999",97,97,"MARRIED","YES","CLINTON","CONTINUE WORKING","VERY SATISFIED",11,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","LEO",45000,23750,14,14,40,60,"Yes","Yes",1,1
40,"40-49","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","EXCITING","$8 000 TO 9 999",12,12,"NEVER MARRIED","NAP","NAP","NAP","MOD. SATISFIED",5,"NAP","NAP","DID NOT VOTE","KEEPING HOUSE","CANCER",9000,-2,NA,NA,NA,NA,NA,NA,NA,NA
72,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"UNDER $1 000","EXCITING","$15000 TO 17499",8,8,"WIDOWED","NAP","CLINTON","NAP","NAP",2,"NAP","NAP","VOTED","RETIRED","CAPRICORN",16250,500,NA,NA,NA,NA,NA,NA,NA,NA
21,"18-29","High school",12,1,-1,"High school","1+ to  4 hours",4,"Female",40,"Not applicable",-1,"Yes","Yes","Yes","Yes",3,"PRETTY HAPPY","PRETTY HAPPY",12,"NAP","ROUTINE","$25000 TO 29999",12,16,"MARRIED","NAP","NAP","NAP","VERY SATISFIED",2,"HIGH SCHOOL","WORKING FULLTIME","INELIGIBLE","KEEPING HOUSE","CANCER",27500,-2,12,12,40,NA,"Yes","No",0,1
48,"40-49","High school",12,0.333333333333333,52,"High school","4+ to 10 hours",7.33333333333333,"Female",50,"Not applicable",-1,"Yes","Yes","Yes","Yes",7,"VERY HAPPY","VERY HAPPY",14,"$4 000 TO 4 999","EXCITING","$20000 TO 22499",12,12,"MARRIED","NAP","DOLE","CONTINUE WORKING","VERY SATISFIED",4,"GRADUATE","WORKING FULLTIME","VOTED","WORKING FULLTIME","LIBRA",21250,4500,14,12,50,52,"Yes","Yes",1,1
46,"40-49","High school",12,-1,22,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$10000 TO 12499","DULL","$10000 TO 12499",12,97,"SEPARATED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",24,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","AQUARIUS",11250,11250,NA,NA,NA,NA,NA,NA,NA,NA
41,"40-49","High school",12,2,37,"High school","4+ to 10 hours",10,"Female",40,"Lycos",4,"Yes","Yes","Yes","Yes",8,"VERY HAPPY","VERY HAPPY",12,"$10000 TO 12499","NAP","$50000 TO 59999",0,0,"MARRIED","YES","CLINTON","NAP","MOD. SATISFIED",4,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING PARTTIME","CANCER",55000,11250,12,12,40,37,"Yes","No",0,1
43,"40-49","High school",15,1,20,"High school","More than 10",21,"Female",-1,"Not applicable",1,"Yes","Yes","Yes","Yes",20,"NAP","PRETTY HAPPY",97,"$10000 TO 12499","NAP","$10000 TO 12499",12,8,"DIVORCED","YES","DONT KNOW","NAP","VERY DISSATISFIED",3,"NAP","NAP","VOTED","WORKING PARTTIME","LIBRA",11250,11250,NA,NA,NA,NA,NA,NA,NA,NA
72,"60-89","High school",12,5,-1,"High school","More than 10",11,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",6,"VERY HAPPY","VERY HAPPY",12,"NAP","NAP","$40000 TO 49999",8,97,"MARRIED","YES","DOLE","NAP","NAP",7,"HIGH SCHOOL","KEEPING HOUSE","VOTED","RETIRED","LEO",45000,-2,12,12,NA,NA,"No","No",0,0
